DC_POWER,AC_POWER,DAILY_YIELD,TOTAL_YIELD
1993.714286,195.4428571,221.8571429,6339601.857
1783.142857,174.6428571,197.7142857,7116348.714
3246,318.6714286,263.5714286,6259822.571
2805.625,275.4625,292.5,6183937.5
2736.125,268.625,287.75,6988046.75
2741.5,269.15,281,7603241
3208.875,315.05,291,7159255
2879.625,282.675,279.125,7206687.125
2779.5,272.8375,284,7028957
2891.714286,283.9428571,281.5714286,7180247.571
3132.625,307.5875,287.125,6522459.125
2785.285714,273.4428571,277.7142857,7098376.714
2816.25,276.4625,296.375,6271651.375
2921.571429,286.8142857,262.5714286,6317065.571
2916.375,286.3,280.875,7178272.875
3172.142857,311.5142857,285.2857143,6185465
2989.375,293.575,276.375,7169378.375
2833.714286,278.1857143,275.2857143,7111768.286
2996.875,294.3125,284,7017116
3193,313.5375,284,7038965
3142.857143,308.6428571,281.2857143,6782879.286
3180.142857,312.3,284.7142857,7008150.714
2844.625,279.2625,279.125,6339659.125
2621,257.2571429,245.5714286,7116396.571
3917.5,384.8375,359.875,6259918.875
4560.428571,447.5,380,6184025
4523.714286,443.9571429,376,6988135
4146.285714,407.1,364.5714286,7603324.571
5073,497.4142857,395.4285714,7159359.429
4215.285714,413.8571429,365.8571429,7206773.857
4968,487.2428571,384,7029057
4347.25,426.7,370.125,7180336.125
4023.428571,395.1857143,380,6522552
4332.875,425.3625,364.375,7098463.375
4617.142857,453.1,385.7142857,6271740.714
3702.75,363.9125,347.625,6317150.625
5294,518.9857143,379.8571429,7178371.857
4205.8,413.02,371.6,6185555.143
5152.571429,505.2571429,374.4285714,7169476.429
5105.625,500.6625,371.25,7111864.25
5169,506.8,383.8571429,7017215.857
5404.714286,529.9285714,389,7039070
4648.125,456.0125,382.875,6782980.875
5082.875,498.5375,395.5,7008261.5
4961.285714,486.6285714,372.1428571,6339752.143
4485.5,440.0625,335.125,7116486.125
4322,424.1285714,464,6260023
4983.625,488.75,509,6184154
4991.5,489.5875,501.5,6988260.5
4695,460.675,481.5,7603441.5
5605.625,549.4125,532.75,7159496.75
4783.75,469.2375,484.125,7206892.125
5060.25,496.25,513.25,7029186.25
5405.285714,529.9142857,497.5714286,7180463.571
5053.285714,495.4285714,490.7142857,6522662.714
5234.428571,513.1571429,490,7098589
4948.375,485.35,512.375,6271867.375
4529.428571,444.4,453,6317256
5338.875,523.4125,517.5,7178509.5
4959.333333,486.4333333,472.6666667,6185657.6
5177.625,507.6625,508.5,7169610.5
5408.428571,530.2571429,508.8571429,7112001.857
5472.5,536.425,520.375,7017352.375
5063.125,496.4625,524.375,7039205.375
5436.428571,532.9,504.7142857,6783102.714
5280.285714,517.8428571,519.4285714,7008385.429
5279.125,517.5875,506.5,6339886.5
5101.285714,500.3285714,457.2857143,7116608.286
4257.125,417.7875,556.125,6260115.125
5141.857143,504.3428571,617.7142857,6184262.714
5567.428571,545.7285714,613.2857143,6988372.286
4845.428571,475.3285714,584,7603544
3473.142857,341.2571429,641.4285714,7159605.429
4865.142857,477.3428571,592,7207000
5739.714286,562.6428571,627.2857143,7029300.286
4101.5,402.7125,600.625,7180566.625
3797.571429,373.0714286,592.1428571,6522764.143
4670.625,458.25,592.5,7098691.5
5279.428571,517.7142857,621.8571429,6271976.857
4415.625,433.2,547.875,6317350.875
3607.285714,354.4571429,621.5714286,7178613.571
3442.571429,338.2,584.4285714,6185764.5
4021.714286,394.9285714,614.2857143,7169716.286
4131.5,405.675,612.25,7112105.25
3493.857143,343.2714286,625.8571429,7017457.857
3478.142857,341.8857143,625.4285714,7039306.429
3475.5,341.5,610.875,6783208.875
3504.125,344.2625,623.25,7008489.25
4217.428571,414.0714286,610.8571429,6339990.857
2978.75,292.4375,553.875,7116704.875
5706.714286,559.2285714,688.8571429,6260247.857
8229.25,805.325,804.125,6184449.125
7681.875,752.0375,798,6988557
8048,787.6625,759.5,7603719.5
7378.428571,722.3,757.7142857,7159721.714
7936.25,776.7625,767,7207175
6262.375,613.55,794.625,7029467.625
8235.857143,806.0428571,755.5714286,7180721.571
8110,793.775,748.75,6522920.75
8211.142857,803.6285714,761,7098860
8274.875,809.8,809.125,6272164.125
6829.428571,668.8571429,699.1428571,6317502.143
7948,777.9375,762.75,7178754.75
7889.571429,772.2857143,738.2857143,6185910.286
8200,802.55,771,7169873
8391,821.1285714,769.2857143,7112262.286
7380.571429,722.6,745.1428571,7017577.143
6981.875,683.7,750.125,7039431.125
7251.714286,710,732.7142857,6783330.714
7161.857143,701.2571429,748.4285714,7008614.429
8404.25,822.45,778.75,6340158.75
5085.857143,498.4714286,653.2857143,7116804.286
4015.5,394.0125,811.625,6260370.625
3541,347.9857143,946.5714286,6184591.571
3170.142857,311.3857143,929.2857143,6988688.286
3592.285714,352.8571429,903.2857143,7603863.286
5938,581.825,939.25,7159903.25
3690.428571,362.4571429,912,7207320
2986,293.2285714,909.7142857,7029582.714
4983.714286,488.8714286,917.1428571,7180883.143
4756,466.3142857,919.8571429,6523091.857
4134.857143,406.0571429,906.4285714,7099005.429
3395.714286,333.6428571,954.7142857,6272309.714
3834.25,376.325,830.5,6317633.5
5278.857143,517.6,941,7178933
5475.571429,536.5857143,909.2857143,6186090.4
6005.428571,588.5142857,956.7142857,7170058.714
5290.125,518.7625,946.5,7112439.5
5795,567.8125,925.25,7017757.25
7028,688.1857143,934.7142857,7039615.714
5680,556.675,909.625,6783507.625
5932,581.2625,921.375,7008787.375
4303.142857,422.4714286,945.1428571,6340325.143
0,0,711,7116862
3219.285714,315.8857143,886.5714286,6260445.571
4325.5,424.1375,1029.125,6184674.125
3819.375,374.6375,1004.375,6988763.375
3608.625,353.975,980.75,7603940.75
3564.571429,350.1428571,1044.857143,7160008.857
3707.25,363.65,990,7207398
3864.625,378.975,979.375,7029652.375
3504.125,343.95,1008.125,7180974.125
3475.285714,341.0142857,1005.714286,6523177.714
3568.625,350.3125,993.25,7099092.25
3996.875,391.9375,1034.5,6272389.5
3299.428571,323.7,903.1428571,6317706.143
3721.375,365.4625,1040.75,7179032.75
3395.857143,333.2714286,1001.857143,6186196.75
3706.142857,364.2142857,1061.857143,7170163.857
3719.142857,365.3571429,1048.285714,7112541.286
3561.571429,349.8714286,1029.285714,7017861.286
3776.285714,371.1142857,1058.142857,7039739.143
3443,338.0714286,1014.285714,6783612.286
3503.428571,344.2571429,1029.142857,7008895.143
3741.875,367.4625,1034.5,6340414.5
0,0,711,7116862
6454.428571,632.3428571,991.4285714,6260550.429
7680.714286,751.2714286,1166.571429,6184811.571
7804,763.2857143,1138,6988897
7452.285714,729.1857143,1105.428571,7604065.429
7631.625,746.9625,1167,7160131
7630.571429,746.7714286,1117.857143,7207525.857
7901.285714,772.8,1117,7029790
7631.857143,746.8714286,1131.714286,7181097.714
7184.714286,703.3428571,1122,6523294
7462.714286,730.2285714,1121.285714,7099220.286
8003.857143,782.8,1170.428571,6272525.429
6281,615.3428571,1006.857143,6317809.857
8049,787.5428571,1169.428571,7179161.429
7024.5,687.85,1126.166667,6186305.571
7194.75,704.3875,1180.375,7170282.375
7639.5,747.5375,1177,7112670
7483.375,732.5,1154.125,7017986.125
6500,636.6875,1169.375,7039850.375
7844,767.7375,1142.25,6783740.25
7065.5,691.8,1144.875,7009010.875
8163.857143,798.8142857,1166.714286,6340546.714
5286.5,517.05,747.5,7116898.5
6008.375,588.775,1161.25,6260720.25
8567,837.2,1390.714286,6185035.714
7384.625,722,1366.375,6989125.375
7301.375,714.275,1327,7604287
10005.42857,977.3142857,1405.571429,7160369.571
6739.5,659.9875,1324.625,7207732.625
6619.25,648.275,1329.75,7030002.75
8841.375,864.175,1367,7181333
6873,673.025,1325.875,6523497.875
8507.125,831.6875,1350.125,7099449.125
8481.142857,828.9428571,1393.857143,6272748.857
5785.125,567.0625,1173.25,6317976.25
9506.714286,928.4,1397.142857,7179389.143
7627.75,746.55,1342.625,6186536.857
9441.428571,922.8,1411.571429,7170513.571
9031.857143,882.7714286,1413.714286,7112906.714
9505.285714,928.9285714,1395,7018227
9905.857143,968.2428571,1394.428571,7040075.429
8500.142857,831.5285714,1357.142857,6783955.143
9893.285714,966.7428571,1357.714286,7009223.714
8889.142857,868.6571429,1391.571429,6340771.571
9611.428571,939.4571429,970.4285714,7117121.429
6637.285714,650.0285714,1307.571429,6260866.571
6741.25,660.1625,1542.625,6185187.625
5928.857143,581.1,1509,6989268
6788.857143,664.5,1471.142857,7604431.143
7233.25,708.125,1596.125,7160560.125
7024.857143,687.4571429,1471.285714,7207879.286
6390,625.9142857,1466.428571,7030139.429
8140,796.1142857,1541.571429,7181507.571
7869.857143,769.8428571,1494.857143,6523666.857
7596.428571,742.7571429,1503.285714,7099602.286
6276.875,615.05,1542,6272897
6173.285714,604.3857143,1311.142857,6318114.143
8047.5,786.9375,1572.75,7179564.75
8989,878.55,1529.5,6186695.25
6130.125,600.675,1580.125,7170682.125
7055.5,690.925,1572,7113065
8947.125,874.1625,1574.75,7018406.75
7079,692.7375,1584.375,7040265.375
7232.75,707.6625,1535.25,6784133.25
6152.5,602.65,1558,7009424
7940,776.375,1551.75,6340931.75
8342.25,815.8375,1158,7117309
4399.75,431.875,1440,6260999
5592.714286,548.2285714,1723.142857,6185368.143
5319.857143,521.6,1661.857143,6989420.857
4893,479.8875,1634.125,7604594.125
6013.285714,589.2571429,1782.428571,7160746.429
4944,484.875,1636,7208044
5174.285714,507.4,1606.285714,7030279.286
5977.25,585.625,1740,7181706
4820.428571,472.7571429,1657.571429,6523829.571
6197.875,606.7875,1692.625,7099791.625
5257.571429,515.5714286,1712.428571,6273067.429
4439.875,435.7875,1454.625,6318257.625
7315.714286,715.6571429,1782.285714,7179774.286
5035.6,493.74,1695.8,6186877
7577.428571,741.6857143,1765.571429,7170867.571
7707.571429,753.6714286,1766,7113259
6573.285714,643.7571429,1774.285714,7018606.286
6439,630.7142857,1757.857143,7040438.857
5780.857143,566.4571429,1713.428571,6784311.429
6128.714286,600.5,1718.285714,7009584.286
7030.857143,688.1428571,1756.857143,6341136.857
6484.714286,634.6142857,1351.714286,7117502.714
4360.571429,428.2285714,1549,6261108
4895.125,480.05,1851.75,6185496.75
4999.75,490.3875,1791.75,6989550.75
4605.428571,452.0142857,1752.571429,7604712.571
5362.5,525.6125,1929.25,7160893.25
4794.714286,470.4428571,1760.142857,7208168.143
4875,478.3375,1729.125,7030402.125
5081.142857,498.2714286,1866.428571,7181832.429
4868.142857,477.3857143,1777.285714,6523949.286
4825.714286,473.4,1817.714286,7099916.714
4962,486.55,1842.5,6273197.5
4342.428571,426.4285714,1564,6318367
5251.375,514.7625,1926.375,7179918.375
4621,453.32,1822.4,6186996.429
6211.875,608.1125,1936.75,7171038.75
5240.375,513.8,1916.25,7113409.25
4994.625,489.6625,1917.625,7018749.625
6817.5,667.2,1930.375,7040611.375
5415.125,530.8375,1850.375,6784448.375
6141.75,601.6125,1867.25,7009733.25
5068.625,497.05,1895.125,6341275.125
5388.375,528.1625,1505.25,7117656.25
6829.5,668.725,1693,6261252
8230.428571,804.9,2014.571429,6185659.571
7337.428571,717.8714286,1949.571429,6989708.571
7736.571429,756.7714286,1893.714286,7604853.714
10257.85714,1001.385714,2107.571429,7161071.571
7767,759.7857143,1907,7208315
7080.428571,692.8,1877.571429,7030550.571
8608.75,841.525,2030.25,7181996.25
8656.428571,846.3142857,1937,6524109
7970.875,779.3375,1983.375,7100082.375
7679,751.1714286,2006.285714,6273361.286
7113.625,696.1375,1711.5,6318514.5
10353,1010.628571,2092.714286,7180084.714
8766,857.02,1947.4,6187135.833
10114.57143,987.3714286,2115.857143,7171217.857
10648.85714,1039.528571,2089.285714,7113582.286
9636.285714,941.3857143,2088.714286,7018920.714
10481.14286,1023.128571,2124.571429,7040805.571
8641.428571,844.6428571,2018.857143,6784616.857
9592.571429,937.3428571,2044.571429,7009910.571
9982,974.4714286,2067.285714,6341447.286
10284.28571,1004.314286,1689.285714,7117840.286
5969,584.7857143,1843.714286,6261402.714
6082.375,595.925,2194.125,6185839.125
5851.75,573.425,2110.375,6989869.375
6103.25,597.9,2064.875,7605024.875
8710.25,851.3375,2333.125,7161297.125
6141.75,601.6875,2073,7208481
5567.375,545.65,2031,7030704
7360.714286,720.1142857,2226.857143,7182192.857
6437.857143,630.5428571,2119.285714,6524291.286
6429.142857,629.4428571,2184.285714,7100283.286
5966.875,584.65,2176.75,6273531.75
5902.428571,578.2571429,1865.285714,6318668.286
8474.625,828.3625,2313.375,7180305.375
6663.333333,652.5333333,2166.333333,6187332.833
7711.375,754.05,2341.75,7171443.75
8062.625,788.2375,2300.5,7113793.5
7676.25,750.875,2305.375,7019137.375
9303.75,909.3125,2371,7041052
8375.375,819.0375,2234.875,6784832.875
10653.625,1039.7625,2303.25,7010169.25
8240,805.55,2271.375,6341651.375
8617.5,842.275,1922.25,7118073.25
6226.125,609.8625,1994.5,6261553.5
7405.285714,724.4428571,2377.571429,6186022.571
8226.857143,803.6714286,2295.857143,6990054.857
7328,716.9285714,2242,7605202
6471.285714,633.8571429,2518.714286,7161482.714
7761.142857,759.2142857,2252.285714,7208660.286
8600.571429,840.0857143,2217,7030890
6340.5,621.0125,2394.875,7182360.875
6904.571429,676.0714286,2281.142857,6524453.143
7285.125,712.775,2355.875,7100454.875
8083.857143,790.2,2365.142857,6273720.143
7353.125,719.0625,2024.375,6318827.375
7060.285714,690.7571429,2502.428571,7180494.429
5802.142857,568.5714286,2316.857143,6187503.8
7745,757.5714286,2539.142857,7171641.143
7697,752.6428571,2490.571429,7113983.571
6705.285714,656.5714286,2483.428571,7019315.429
6970.571429,682.4428571,2584.428571,7041265.429
6061.428571,593.8142857,2421,6785019
5585.571429,547.4,2504.571429,7010370.571
7197,704.1142857,2453,6341833
6598.428571,646.2142857,2111.285714,7118262.286
9420.285714,920.0428571,2155,6261714
7959,778.4875,2544.375,6186189.375
8749.375,855.275,2471.25,6990230.25
7643.625,747.9125,2410.625,7605370.625
8642.875,844.7375,2677.875,7161641.875
8312,812.6625,2425.875,7208833.875
8566,837.3625,2399.875,7031072.875
6878.428571,673.6285714,2552.857143,7182518.857
9124.625,891.1125,2454.5,6524626.5
7008,686.2142857,2511.857143,7100610.857
8465.375,827.575,2537.25,6273892.25
8394.428571,821.2285714,2185.142857,6318988.143
6336.375,620.725,2659.75,7180651.75
7978.857143,780.2571429,2468.428571,6187662.25
5973.5,585.3125,2703,7171805
5918.857143,579.9571429,2640,7114133
6771.375,663.075,2640,7019472
5704.375,559.0375,2748.25,7041429.25
8761.428571,855.9,2567.142857,6785165.143
8481.285714,828.9,2652.428571,7010518.429
6566.125,643.1,2611.625,6341991.625
6012,589.0857143,2254,7118405
8232.5,805.1875,2382.875,6261941.875
7013.142857,686.1142857,2752.428571,6186397.429
6402.571429,626.8714286,2676.285714,6990435.286
6910.714286,676.5428571,2612.857143,7605572.857
6201.714286,607.4428571,2888.714286,7161852.714
7050.857143,690.1714286,2644,7209052
6951.428571,680.6428571,2605.714286,7031278.714
8245.625,806.375,2745.625,7182711.625
7996.428571,782.1428571,2688.285714,6524860.286
7931.5,775.775,2701,7100800
6857.857143,671.0285714,2746.142857,6274101.143
7961.875,778.7875,2399.625,6319202.625
7039.285714,689.1714286,2838.571429,7180830.571
8629,843.2333333,2696,6187878.667
6126.142857,600.1857143,2847,7171949
6543.125,640.8375,2797.375,7114290.375
6353.428571,622.3,2826.857143,7019658.857
6011.428571,588.9857143,2898.714286,7041579.714
6887.5,674.325,2782.625,6785380.625
6646.125,650.7,2868,7010734
6948.571429,680.3,2790,6342170
6880.875,673.6875,2432.25,7118583.25
10546.57143,1030.285714,2614.571429,6262173.571
9083.25,887.825,2960.375,6186605.375
8377.25,819.0125,2876.375,6990635.375
9782.75,955.45,2815.875,7605775.875
9099.5,889.65,3069.75,7162033.75
10685.5,1043.475,2861.125,7209269.125
9248,903.7625,2813,7031486
10154.14286,992,2947.571429,7182913.571
10926.71429,1066.885714,2905.428571,6525077.429
10243,1000.342857,2909.285714,7101008.286
9022.75,881.9375,2949,6274304
9371.571429,916.2142857,2614,6319417
9962.25,973.05,3035.125,7181027.125
9892.666667,966.1,2870.5,6188072.429
9142.75,893.175,3031.5,7172133.5
9427.571429,920.8714286,2996.714286,7114489.714
9485.625,927.275,3015.5,7019847.5
7864.75,769.3875,3060.625,7041741.625
9891,966.3142857,2961.428571,6785559.429
9834.142857,960.6714286,3029.571429,7010895.571
9616.5,939.475,2994.125,6342374.125
7911.142857,773.8571429,2600.857143,7118751.857
8517,832.9625,2860,6262419
9675.571429,945.6714286,3186.142857,6186831.143
10452.71429,1020.728571,3103.142857,6990862.143
9645.571429,942.4428571,3050.142857,7606010.143
9208.428571,899.8571429,3322.857143,7162286.857
9432,921.6142857,3114.571429,7209522.571
10277,1003.728571,3041.285714,7031714.286
8657.142857,846.5571429,3175.714286,7183141.714
9099.571429,889.2285714,3160.714286,6525332.714
8899.285714,870.0714286,3130.571429,7101229.571
10091.71429,985.2142857,3178.142857,6274533.143
8894.25,869.975,2846.625,6319649.625
8117,793.5285714,3272.142857,7181264.143
7880,770.6,3156,6188319.833
8509.571429,832.2142857,3257.428571,7172359.429
8124.125,794.675,3218.75,7114711.75
8004.714286,782.5571429,3254.285714,7020086.286
8398,821.2,3270.571429,7041951.571
9448.125,923.2875,3214.125,6785812.125
9311,909.875,3283.5,7011149.5
8491.714286,830.4428571,3226.857143,6342606.857
8750,855.275,2839.5,7118990.5
8006.285714,783.5571429,3062,6262621
9397.375,918.6875,3406.625,6187051.625
8735.75,854.25,3337.625,6991096.625
9367.125,915.9375,3260.25,7606220.25
10137.28571,990.0857143,3525.714286,7162489.714
8857.875,866.5375,3329.875,7209737.875
8551.75,836.325,3266.75,7031939.75
10026.25,980.25,3393.875,7183359.875
9648.428571,943.1714286,3376.857143,6525548.857
8755,856.4625,3347.875,7101446.875
9249.5,904.3125,3411.625,6274766.625
8647.714286,846.0285714,3043.428571,6319846.429
10605.625,1035.5125,3494.25,7181486.25
9928.666667,970.6333333,3347,6188524.429
9971.125,974.525,3474.5,7172576.5
10134,990.0571429,3438.857143,7114931.857
10235.14286,1000.271429,3455.857143,7020287.857
9606.25,938.875,3476.125,7042157.125
9906.285714,968.2571429,3430,6786028
9541.285714,931.9571429,3489.714286,7011355.714
10421.375,1018.075,3456.25,6342836.25
9689.142857,947.1285714,3054.142857,7119205.143
6089.375,596.5625,3223.25,6262782.25
6284.285714,615.5857143,3590.428571,6187235.429
6364.428571,623.4,3508,6991267
6049.285714,592.6428571,3433.428571,7606393.429
6001.75,588.05,3721.75,7162685.75
6411.142857,627.9714286,3499.571429,7209907.571
6387.714286,625.7142857,3428.142857,7032101.143
5673.857143,556,3590,7183556
6101,597.7142857,3557.285714,6525729.286
5691.857143,557.8571429,3541.142857,7101640.143
6446.285714,631.4142857,3590.857143,6274945.857
5897.5,577.9375,3199.875,6320002.875
5499.714286,539.0285714,3698.857143,7181690.857
5754.714286,563.8857143,3522.571429,6188696.5
5131.857143,503.1285714,3674.142857,7172776.143
6280.75,614.875,3646.125,7115139.125
5876.625,575.8125,3657.125,7020489.125
4997.571429,490,3677.142857,7042358.143
6006.625,588.5125,3618.25,6786216.25
5749,563.35,3676.25,7011542.25
5700.142857,558.5714286,3653,6343033
5446.875,533.8625,3254.125,7119405.125
6359.714286,623.0428571,3384.857143,6262943.857
7035.857143,689.0142857,3749.571429,6187394.571
7056.125,691.0125,3679.625,6991438.625
6862.75,672.125,3599,7606559
6752,661.3285714,3883.428571,7162847.429
7005.625,686.075,3671.75,7210079.75
6822.375,668.1875,3600,7032273
6830.5,668.9875,3751.5,7183717.5
6917.5,677.5,3734.25,6525906.25
6904.375,676.1875,3701.25,7101800.25
7089.571429,694.2857143,3753.142857,6275108.143
6266.571429,613.9571429,3356.571429,6320159.571
6876,673.425,3859.75,7181851.75
6778.714286,663.9428571,3686.142857,6188878.167
6888.571429,674.6714286,3812,7172914
6906.142857,676.3571429,3802.571429,7115295.571
6686.571429,654.9428571,3814.428571,7020646.429
6858.857143,671.7714286,3815.714286,7042496.714
6655,651.8571429,3781,6786379
6558.285714,642.4142857,3836,7011702
6964.875,682.1,3814.25,6343194.25
6664.571429,652.8,3405,7119556
7588,742.9142857,3543,6263102
8212,803.725,3935.875,6187580.875
8197.714286,802.3428571,3866.428571,6991625.429
7975.428571,780.6857143,3782.285714,7606742.286
7944.5,777.6375,4058.5,7163022.5
8216.714286,804.1571429,3856.714286,7210264.714
8029.285714,785.9142857,3785.857143,7032458.857
8100.285714,792.8428571,3932.571429,7183898.571
8172,799.8285714,3927.571429,6526099.571
8054.142857,788.3428571,3880.428571,7101979.429
8289.125,811.2375,3940.625,6275295.625
7505.857143,734.9,3513,6320316
8068.714286,789.7857143,4039.857143,7182031.857
7921.5,775.375,3882.5,6189058.857
7972.125,780.325,3991.125,7173093.125
8063.375,789.2375,3986.875,7115479.875
7896.75,773.0125,3991.875,7020823.875
7769.75,760.5875,3991.25,7042672.25
7943.625,777.5875,3961,6786559
7724.125,756.125,4005.5,7011871.5
8095.571429,792.3571429,3996.714286,6343376.714
7832.875,766.7375,3579.375,7119730.375
7471.375,731.5,3726.875,6263285.875
7734.285714,757.1571429,4132.857143,6187777.857
7803.285714,763.8571429,4047,6991806
7721.625,755.9,3974.625,7606934.625
7763.142857,759.9571429,4254.857143,7163218.857
7992.125,782.3,4052.625,7210460.625
7807.428571,764.2571429,3964.142857,7032637.143
7773.875,761.025,4126,7184092
7994.428571,782.5142857,4117,6526289
7681.75,752.025,4072.375,7102171.375
7920.571429,775.2857143,4136.857143,6275491.857
7242.125,709.15,3695.25,6320498.25
7956.142857,778.7714286,4221.714286,7182213.714
7756.714286,759.3571429,4057.714286,6189228.667
7670.142857,750.8714286,4184,7173286
7625.285714,746.5285714,4177.571429,7115670.571
7659.428571,749.8571429,4187.571429,7021019.571
8044.857143,787.4142857,4188.142857,7042869.143
7925.428571,775.7571429,4153.857143,6786751.857
7938.428571,777.0571429,4196.857143,7012062.857
7652.571429,749.1857143,4176,6343556
7835.571429,767.0142857,3774.571429,7119925.571
9555,934.4714286,3936.714286,6263495.714
10326.375,1009.4875,4354,6187999
10297.125,1006.6375,4263.625,6992022.625
10160.57143,993.3714286,4188,7607148
10280,1004.825,4476.25,7163440.25
10503.57143,1026.728571,4272.142857,7210680.143
10083.125,985.8375,4179.75,7032852.75
10150.71429,992.4142857,4338.428571,7184304.429
10347.85714,1011.542857,4328.714286,6526500.714
10121.71429,989.5857143,4283.428571,7102382.429
10456.125,1022.0875,4356.75,6275711.75
9364.285714,915.9142857,3897.285714,6320700.286
10080.5,985.55,4435,7182427
9913,969.275,4290.25,6189446
10028.625,980.5125,4400.5,7173502.5
10122.875,989.5375,4391,7115884
10015.125,979.2,4399.75,7021231.75
10058,983.35,4401.375,7043082.375
10202.75,997.425,4370.375,6786968.375
10119.5,989.3625,4412,7012278
10107.75,988.2,4388.5,6343768.5
10144.125,991.75,3988,7120139
10642.75,1039.35,4191,6263750
12194.71429,1189.642857,4628.714286,6188273.714
12158.28571,1185.957143,4536.285714,6992295.286
11674.75,1139.525,4456.375,7607416.375
12040.57143,1174.3,4755.857143,7163719.857
11439.875,1116.5125,4554.875,7210962.875
11913.71429,1162.257143,4447.571429,7033120.571
11996.875,1170.6125,4609.875,7184575.875
11394.625,1111.95,4610.875,6526782.875
11917.25,1162.85,4552.875,7102651.875
12319.14286,1201.442857,4633.142857,6275988.143
10578.875,1033.575,4146.875,6320949.875
12025.85714,1173.557143,4705.571429,7182697.571
11723.57143,1144.271429,4514.428571,6189684.2
11913.42857,1162.585714,4671.571429,7173773.571
11993.42857,1170.071429,4662,7116155
11884.28571,1159.571429,4668.714286,7021500.714
11977.57143,1168.828571,4671.142857,7043352.143
12073.42857,1177.828571,4642.714286,6787240.714
11975.71429,1168.314286,4680.714286,7012546.714
12066.57143,1177.514286,4659,6344039
11908,1162.028571,4265.285714,7120416.286
5429.857143,532.2285714,4398.142857,6263957.143
7720.875,755.0625,4892,6188537
7270.875,711.4,4797.375,6992556.375
7166.428571,701.2857143,4701.142857,7607661.143
5949.625,583.0375,4989.625,7163953.625
6612.142857,647.2571429,4800,7211208
6433.875,629.8125,4688.625,7033361.625
6801.857143,666.0714286,4849.285714,7184815.286
5692.285714,558.0428571,4844.428571,6527016.429
6686.285714,654.3285714,4803.571429,7102902.571
7883.875,770.9875,4906.625,6276261.625
5808,569.1142857,4364.285714,6321167.286
6691.75,654.7,4957.625,7182949.625
4514.2,443.08,4773.4,6189946.167
7223,706.425,4929.75,7174031.75
7162,700.5,4918.25,7116411.25
6043.125,591.7875,4907.75,7021739.75
6961.75,681.075,4927.75,7043608.75
5489.25,538.15,4864.5,6787462.5
5346.375,523.9,4900,7012766
7498.625,733.3875,4924,6344304
6515.875,637.5625,4511.375,7120662.375
